Likes,Body,Url_photo
213,"CD Projekt RED продаёт шмотки, Bethesda плагиатит сценарии для настольной Dungeons & Dragons, по «Джону Уику» анонсирована пошаговая тактика, Pillars of Eternity II получает «финальный патч», переиздание Blood: Fresh Supply появляется в магазинах, а Ubisoft показывает геймплей Ghost Recon: Breakpoint.

• Анонс Ghost Recon: Breakpoint — stopgame.ru/newsdata/38163 
• Больше плагиата в Dungeons & Dragons — stopgame.ru/newsdata/38151 
• Магазин мерчендайза от CD Projekt RED — stopgame.ru/newsdata/38147 
• Обзор игры Mordhau — stopga.me/104267
 
• Блог недели. Эффект «зловещей долины» — stopgame.ru/blogs/topic/95785 
• Обзор недели. Lorelai — stopgame.ru/blogs/topic/95724",https://stopgame.ru/show/104273/infact_10_05_2019
156,"Второй выпуск State of Play, как и говорили ранее, оказался немного лучше предыдущего — по крайней мере, он был короче! Мы собрали все показанные ролики внутри.

https://stopgame.ru/newsdata/38170",https://stopgame.ru/show/104273/infact_10_05_2019
119,"Draugen будет доступна на Windows через Steam и GOG. Даже на русском запилят. А вот версии для PlayStation 4 и Xbox One придётся подождать.

https://stopgame.ru/newsdata/38169",https://stopgame.ru/show/104273/infact_10_05_2019
200,"Трейлеры Death Stranding и The Last of Us Part II, показанные на State of Play. Ой, это тоже не они.

#StateofPlay@stopgameru",https://stopgame.ru/show/104273/infact_10_05_2019
224,"Наконец-то достойная State of Play — анонсирована новая PlayStation... 

...жаль, что снова четвёртая. 

#StateofPlay@stopgameru",https://stopgame.ru/show/104273/infact_10_05_2019
264,"Признавайтесь, кто из вас заказал игру про Хищника?

#StateofPlay@stopgameru",https://stopgame.ru/show/104273/infact_10_05_2019
350,"Ремейк Final Fantasy VII ещё жив, а значит мы спокойны

#StateofPlay@stopgameru",https://stopgame.ru/show/104273/infact_10_05_2019
298,"MediEvil вернётся на ваши консоли от Sony 25 октября

#StateofPlay@stopgameru",https://stopgame.ru/show/104273/infact_10_05_2019
128,"🎮 По вашим просьбам мы решили запустить ретрансляцию State of Play. Даур, Макс, Солод и вы. Жмакайте!

twitch.tv/stopgameru
twitch.tv/stopgameru",https://stopgame.ru/show/104273/infact_10_05_2019
245,"Заберите Age of Wonders III для Steam в Humble Bundle, а то пылится без дела",https://www.humblebundle.com/store/age-of-wonders-iii
104,"Blizzard подкидывает всё новые поводы порубиться в картишки, выпуская следующее одиночное дополнение для Hearthstone

https://stopgame.ru/newsdata/38168",https://www.humblebundle.com/store/age-of-wonders-iii
168,Ролик к выходу дополнения с Атлантидой для Titan Quest Anniversary Edition,https://store.steampowered.com/app/1071200/Titan_Quest_Atlantis/
133,"Подготовили фуру деталей свежеанонсированной Tom Clancy’s Ghost Recon: Breakpoint. Внутри найдёте про место действия, персонажей, дату выхода, цены предзаказа, содержание изданий... Список почти бесконечный, изучайте.

https://stopgame.ru/newsdata/38163",https://store.steampowered.com/app/1071200/Titan_Quest_Atlantis/
240,"⚔ Среднестатистический ценитель жанра многопользовательских боевиков от первого или третьего лица куда больше любит стрелять, чем махать мечом или топором. Впрочем, это не остановило For Honor и Chivalry: Medieval Warfare. Теперь список пополнился игрой под названием Mordhau.

stopga.me/104267",http://stopga.me/104267
314,"Как же здорово, что на PC цены ниже консольных. Вот взять, например, Ghost Recon Breakpoint в Epic Games Store... ОКЕЙ, ЗАБЫЛИ",https://www.epicgames.com/store/ru/product/ghost-recon-breakpoint/home?sessionInvalidated=true
198,"Трейлер и 13 минут игрового процесса Ghost Recon Breakpoint.

Больше об игре: stopgame.ru/newsdata/38163",https://www.epicgames.com/store/ru/product/ghost-recon-breakpoint/home?sessionInvalidated=true
175,"Обложки и пачка тизеров анонсированной официально Ghost Recon Breakpoint. Релиз состоится 4 октября на PS4, Xbox One и PC.",https://www.epicgames.com/store/ru/product/ghost-recon-breakpoint/home?sessionInvalidated=true
114,"Прямо сейчас Ubisoft проводит прямую трансляцию с анонсом новой Tom Clancy’s Ghost Recon. Внутри мы выпишем самое главное о грядущей игре.

https://stopgame.ru/newsdata/38163",https://www.epicgames.com/store/ru/product/ghost-recon-breakpoint/home?sessionInvalidated=true
173,"Как-то быстро 27 лет для возвращения Пеннивайза прошло, не находите?

https://stopgame.ru/newsdata/38162",https://www.epicgames.com/store/ru/product/ghost-recon-breakpoint/home?sessionInvalidated=true
390,"Первая часть грандиозной и долгожданной подборки самых примечательных и ярких эпизодов прямого эфира StopGame за минувший год!

📺 stopga.me/104268
📅 stopga.me/104268",http://stopga.me/104268
236,Трейлер «Мора» сообщает о старте предзаказов — в Steam за 699 деревянных,http://stopga.me/104268
97,"В Crash Team Racing Nitro-Fueled разрешат менять колёса, форму и раскраску кузова, добавлять наклейки и декали. Гонщиков также позволят наряжать по своему вкусу.

https://stopgame.ru/newsdata/38161",http://stopga.me/104268
119,"Поскольку переиздание древней Blood — это не полноценный ремейк, о серьёзных изменениях говорить не приходится. Зато хватает мелких улучшений.

https://stopgame.ru/newsdata/38160",http://stopga.me/104268
157,"7 мая в Fallout 76 добавили магазины. Казалось бы, такое новшество придётся публике по душе, но и тут Bethesda ухитрилась расстроить игроков.

https://stopgame.ru/newsdata/38159",http://stopga.me/104268
481,"Смотрите трейлер «Оно 2», пока можете🎈",http://stopga.me/104268
103,"За 11 месяцев разработчики Warhammer 40,000: Inquisitor — Martyr успели порадовать владельцев игры апдейтами — не грех анонсировать и платное DLC

https://stopgame.ru/newsdata/38158",http://stopga.me/104268
135,"Bethesda Softworks, id Software и Avalanche Studios не оставляют попыток доказать, что Rage 2 — ну очень смешная и безумная игра

https://stopgame.ru/newsdata/38157",http://stopga.me/104268
180,"Трейлер к релизу RAGE 2, который состоится 14 числа",http://stopga.me/104268
90,"Французский коллектив Magic Design Studios несёт вам радостную весть насчёт своей вариации на тему китайского романа «Путешествие на Запад»

https://stopgame.ru/newsdata/38156",http://stopga.me/104268
107,"У Nintendo всегда своя атмосфера, но она, в отличие от некоторых, от присутствия на E3 2019 не отказывается

https://stopgame.ru/newsdata/38155",http://stopga.me/104268
122,"🌠 Отмечаем День Победы, отстреливая Ковенантов в Halo 4. Подключайтесь к празднованию. 

twitch.tv/stopgameru
twitch.tv/stopgameru",http://stopga.me/104268
160,"Поток дополнительного контента для Kingdom Come: Deliverance почти иссяк. Впереди осталось лишь дополнение, где главной героиней станет женщина.

https://stopgame.ru/newsdata/38154",http://stopga.me/104268
103,"Obsidian Entertainment сделала фанатам Pillars of Eternity II: Deadfire подарок к первой годовщине игры

https://stopgame.ru/newsdata/38153",http://stopga.me/104268
191,"Сегодня в 16:00 🌠 twitch.tv/stopgameru

В прошлый раз мы тут слегка запутались с порядковым расположением игр и анонсировали прохождение Halo 4, тогда как на практике была очередь Reach. Но на сей раз — точно 4! Даур Авидзба, Максим Кулаков, День Победы.",http://stopga.me/104268
122,"Создатели Fortnite посчитали, что 9 мая — идеальный день, чтобы начать 9 сезон",http://stopga.me/104268
117,"Авторы Two Point Hospital планировали целую серию симуляторов под общим названием Two Point County. После объединения с SEGA планы не изменились.

https://stopgame.ru/newsdata/38152",http://stopga.me/104268
94,"Когда Bethesda публиковала игровой модуль настольной RPG по TESO: Elsweyr, она упоминала, что это идея подразделения в Нидерландах. Теперь все сообщения со ссылками на загрузку удалены.

https://stopgame.ru/newsdata/38151",http://stopga.me/104268
201,"Просмотр роликов с повешенными, фотографии жертв убийства, бессонница из-за ночных кошмаров и посттравматическое стрессовое расстройство в качестве награды. Всё ради достоверной расчленёнки в Mortal Kombat 11.

https://stopgame.ru/newsdata/38150",http://stopga.me/104268
140,"В этот памятный день новости почему-то... азиатские. PUBG Mobile в Китае подменили самодельным клоном, Apex Legends всё равно метит на тот рынок, а в Южной Корее боятся признать игровую зависимость заболеванием. Утекла информация о Ghost Recon: Breakpoint, а в Bloodlines 2 появятся Тремеры.

• Знакомимся с Тремерами из Bloodlines 2 — stopgame.ru/newsdata/38139 
• Обзор Dark Devotion — stopga.me/104260",https://stopgame.ru/show/104264/infact_09_05_2019
274,"Действие сериала «Хранители» развернётся в альтернативной истории, где супергероев считают преступниками. Создатели попытаются совместить ностальгию по комиксу Алана Мура с новым авторским видением.

https://stopgame.ru/newsdata/38149",https://stopgame.ru/show/104264/infact_09_05_2019
281,"В ближайшее время Джош Хоули представит законопроект «О защите детей от недобросовестных механик в играх» в Сенате США. Скорее всего, он будет применяться ко множеству онлайн-игр.

https://stopgame.ru/newsdata/38148",https://stopgame.ru/show/104264/infact_09_05_2019
587,"Когда скопившаяся лента из тизеров сериала «Хранители» вспенится до пояса, зрители посмотрят вверх и возопят «Спаси нас», а я прошепчу «Ещё один пост»",https://stopgame.ru/show/104264/infact_09_05_2019
244,"Товары на сайте CD Projekt RED разделены на три основные категории — «Ведьмак», Cyberpunk 2077 и «ГВИНТ». Ребята предлагают прибарахлиться футболками, кружками и не только.

https://stopgame.ru/newsdata/38147",https://stopgame.ru/show/104264/infact_09_05_2019
